B.TECH I SEMESTER ODD 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,TB3(GE112)-TS6/CDN,TA15(EC101)-TS6/RRJ,"LB5,B6(CI111)-CS6/ASP",,TG1(PH111)-TS6/ABH,TB3(EC101)-TS6/JG,TB1(EC101)-TS6/JG,TB8(MA111)-TS10/RSC,
,TB4(GE112)-TS7/SWET,TB7(CI111)-TS7/MSH,TA4(EC101)-TS6/RS,,TG2(PH111)-TS7/RAV,TB4(EC101)-TS7/VKH,TB7(MA111)-TS7/HA,TG2(GE112)-TS11/SNP,
,,TB11(GE112)-TS8/SNP,TA3(CI111)-TS7/MSH,,TA10(EC101)-TS8/RS,TG2(CI111)-TS8/AMT,TB2(EC101)-TS8/ABY,TB10(EC101)-TS12/RIG,
,,TB8(CI111)-TS10/AJP,TG1(CI111)-TS10/SHP,,,TB7(PH111)-TS10/INC,TB13(EC101)-TS10/GK,,
,,TA16(EC101)-TS11/PKY,TB13(MA111)-TS11/LK,,,TB8(PH111)-TS11/SDC,TB5(PH111)-TS11/SND,,
,"PB6(HS112)-LL/ MB,NF4",,,,PB14(PH171)-PL3/RKG,,"PB4(EC107)-EDC/APN,BVI",,
,,TB13(PH111)-TS12/SPP,,,,,TA9(PH111)-TS12/SPP,,
,,"PB12(EC107)-BEL3/NTN,JYO",,,PA16(PH171)-/PL1/SND,,"PC1(B15CI111)-CL09/TAJ,PK,SJA",,
,"PB5(HS112)-CL12/YN,NF7",,,,PA15(PH171)-/PL2/RKD,,"PC2(B15CI111)-CL10/TAJ,PK,SJA",,
,"PG1(CI171)-CL13/SHB,SOS",,,,"PA3(CI171)-CL13/ASP,ARP",,,,
,"PG2(CI171)-CL15/APR,AV",,,,"PA4(CI171)-CL15/KM,AMS",,PA7(PH171)-/PL2/NKS,,
,"PC3(EC107)-EDC/ABY,NHI",,,,"PA17(EC107)-EDC/MN, ACH",,PA8(PH171)-/PL3/RAV,,
,,PB9(PH171)-PL3/GPK,,,"PA18(EC107)-BEL3/SMK,AMR",,"PA2(HS112)-LL/EKS,NF5",,
,,PB10(PH171)-PL1/RAV,,,"PA8(HS112)-LL/DAN,NF6",,"PB6(EC107)-BEL3/NTN,ATA",,
,,PA9(PH171)-PL2/AP,,,"PA7(HS112)-CL12/AS,VAN",,"PA1(HS112)-CL12/NIS,NF6",,
,PC1(GE112)-EW1/NKR,,,,PA9(GE112)-EW1/NF,,,,
,PC2(GE112)-EW2/MJH,,,,PB13(GE112)-EW2/NF,,PC3(GE112)-EW1/SWET,,
,,,,,,,,,
SAT,"LB11,B12(PH111)-G2/GPK","LA7,A8(PH111)-G2/RKD","LA15,A16(CI111)-G2/GZL","LB11,B12(CI111)-G2/ANM",,,,,
,"LB5,B6(MA111)-G9/NSK","LB11,B12(MA111)-G9/AN","LB11,B12(EC101)-G9/NTN","LA9,B13(MA111)-G9/AK",,,,,
,"LA7,A8(EC101)-FF1/PRAB","LA1,A2(PH111)-FF1/VRT","LA1,A2(MA111)-FF1/NS",,,,,,
,"LA3,A4(HS112)-FF3/MB","LA15,A16(EC101)-FF3/MN","LA9,B13(PH111)-FF3/RKD",,,,,,
,TC2(EC101)-TS6/RRJ,"LB7,B8(EC101)-FF5/NSH","LB9,B10(EC101)-FF5/AB",,,,,,
,,TB9(MA111)-TS6/MKB,TB6(GE112)-TS6/MJH,TB6(MA111)-TS6/NSK,,,,,
,,TB10(MA111)-TS7/RSC,TB5(GE112)-TS7/SNP,TB10(GE112)-TS7/SNP,,,,,
,,TB6(PH111)-TS8/MTR,,TB5(MA111)-TS8/MKB,,,,,
,,TA3(EC101)-TS10/RS,TC3(MA112)-TS11/GA,TB9(PH111)-TS10/RKG,,,,,
,,TA4(MA111)-TS11/SGL,"PA10(EC107)-EDC/MN,MNA",,,,,,
,"PA10(CI171)-CL13/VRN,SOS",,"PB14(EC107)-BEL3/RRJ,ATA",,,,,,
,"PB14(CI171)-CL15/RCA,AV",,"PA3(HS112)-CL12/AS,VAN",,,,,,
,"PA9(EC107)-EDC/SHA,VSL",,"PA4(HS112)-LL/AS,VS",,,,,,
,"PB13(EC107)-BEL3/GK,NHI",,"PA7(CI171)-CL13/KM,SHB",,,,,,
,PC3(PH171)-/PL1/SND,,"PA8(CI171)-CL15/AMS,AJP",,,,,,
,PG1(GE112)-EW1/CDN,,PA17(GE112)-EW1/SWET,,,,,,
,PG2(GE112)-EW2/SNP,,PA18(GE112)-EW2/CDN,,,,,,
,,,,,,,,,
1,IMPORTANT INFORMATION,,,,,,,,
,ABBREVIATIONS: ,,,,,,,,
,A :  A1-A18 for students of ECE and Dual-ECE .Each section will consists of  batches of approximately 30 students. ,,,,,,,,
,"B :  B1-B15 for students of CSE, IT and  Dual-CSE.Each section will consists of  batches of approximately 30 students. ",,,,,,,,
,,,,,,,,,
,"LT1, LT2 ….,G7,G8….,FF1,FF2….,F1, F3, are lecture theatres, TS1,TS2…….are tutorial rooms & CS1,CS2.. are classrooms.",,,,,,,,
,,,,,,,,,
2,HOW TO READ TIMETABLE: ,,,,,,,,
,Example:  ,"LC1,C2,C3(PH112)-/","means lecture class of C1, C2,C3  of the  course PH112  in the room (G2) to be taught by faculty Dr. Ravi Gupta(RAV)",,,,,,
,,TB(CI111)-/,means tutorial class of subsection B1 of the course CI111 in tutorial room (TS5) to be taught by faculty Dr. Sangeeta Mittal (SMT),,,,,,
,,PB(PH171)-/,means practical class of subsection B7 of the course PH171  in Physics Laboratory1 (PL1).,,,,,,
3,Faculty Abbreviation with Names,Faculty Abbreviation with Names,Faculty Abbreviation with Names,Faculty Abbreviation with Names,Faculty Abbreviation with Names,Faculty Abbreviation with Names,SHORT FORM / SUBJECT CODE,SUBJECT NAME,
,RRJ:Ritu Raj ,VKH: Vijay Khare,RIG: Richa Gupta,GK: Garima Kapoor,AST: Dr. Aashta Maheshwari,Taj: Dr. Taj Alam,CI111 / 15B11CI111,Software Development Fundamentals-1,
,MB- Dr. Monali Bhattacharya ,ANU: Dr. Anuraj Panwar,GPK: Dr. Guru Prasad Kadam,NS: Dr. Neha Singhal,AMT: Amitesh,AKT: Akshit,CI171 / 15B17CI171,Software Development Fundamentals Lab-1,
,BB- Dr. Badri Bajaj,BCJ: Dr. Bhubesh Chander Joshi,VRT: Dr. Vaibhav Rawoot,NSK: Dr. Nisha Shukla,ASP:Dr. Ashish Singh Parihaar,RCA: Richa,B11CI111 / 18B11CI111,Fundamentals of Computers & Programming-1,
,HK-Dr. Harleen Kaur,DIN: Dr. Dinesh Tripathi,SND: Dr. Sandeep Mishra,RSC: Dr. Ram Surat Chauhan,ASY: Dr. Asmita Yadav,SHB: Dr. Shulabh,HS112 / 15B11HS112,English,
,EKS- Dr. Ekta Singh,RAV: Dr. Ravi Gupta,ANL: Dr. Anil Kumar,APN: Archana Pandey,KM: Dr. Kapil Madan,KP: Dr. Kavita Pandey,MA111 / 15B11MA111,Mathematics-1,
,NIS- Dr. Nibha Sinha,MKC: Dr.Manoj Kumar,LK: Prof. Lokendra Kumar,VRN: Varun Goel,MSH: Mradula Sharma,DSR: Dr. Dharamveer Singh Rajpoot,MA112 / 15B11MA112,Basic Mathematics-1,
,YN- Dr. Yogita Naruka,MTR: Dr. Manoj Tripathi,PAT: Dr. Pato Kumari,NSH:Ms. Nisha,PRN: Prantik Biswas,ARP: Dr. Archana Purwar,PH111 / 15B11PH111,Physics-1,
,DAN- Dr. Danish Siddique,NG: Dr. Navendu Goswami,DCS: Dr. D.C.S. Bisht,MN:Mandeep Narula,PHP: Pushp,AKM: Dr. Anil Kumar Mehto,PH112 / 15B11PH112,Physics for Biotechnology,
,NKR: Mr. Nitesh Kumar,NKS: Dr. Navneet K. Sharma,YG: Dr. Yogesh Gupta,NTN:Nitin Muchal,SHP:Shraddha Porwal,MNA:Manika,PH171 / 15B17PH171,Physics Lab-1,
,SWET: Mr. Shwetabh Singh,INC: Dr. Indrani,AN: Dr. Anuj Bhardwaj,PRA:Prabhanshu Yadav,SOS:Sonal Saurabh,AV: Dr. Ankita Verma,GE112 / 18B15GE112,Workshop,
,SNP: Dr.Satyanarayan Patel,RKD: Prof. Rakesh Kumar Dwivedi,HA: Dr. Himanshu Agarwal,SMK: Smriti Kalia,GZL: Dr. Yasmin Ghazala,ALK: Dr. Alka Singhal,B15CI111 / 18B15CI111,Computers Programming Lab-1,
,MJH: Ms. Madhu Jhariya,SPP: Prof. S.P. Purohit,RSH: Dr. Richa Sharma,AB: Ankur Bhardwaj,ANM: Anupama Padha,AMS; Dr. Amit Mishra,ES101 / ES101,Electrical Science ,
,CDN: Mr. Chandan Kumar,ABH: Dr. Ashish Batnagar,MKB: Dr. Manish Kumar Bansal,YOG:Yogesh Kumar,SJA: Somya Jain,NTN:Nitin Muchal,ES107 / ES107,Electrical Science lab,
,ABY:Abhay Kumar,PKY: P.K. Yadav,ALJ: Alok Joshi,RS:Mr Ritesh Sharma,PK: Prakash Kumar,NHI:Nidhi,Faculty Abbreviation with Names,Faculty Abbreviation with Names,
,JG: Juhi Gupta,ALJ: Alok Joshi,GK: Garima Kapoor,RRJ:Ritu Raj ,AJP: Dr. Amarjeet Prajapati,ATA:Astha,ACH:Aanchal,JYO:Jyoti,
,APN: Archana Pandey,YOG:Yogesh Kumar,AB: Ankur Bhardwaj,ABY:Abhay Kumar,VSL:Vaishali,VRN: Varun Goel,BVI:Bhuvneshwari,MN:Mandeep Narula,
,SHA: Shamim Akhtar,SMK: Smriti Kalia,AMR:Amrita,AP: Anirban Pathak,,,,NSH:Ms. Nisha,
